lor_nr,lor_name,bezirk,prognoseraum,bezirksregion,wert,rang,schicht,dezwert,kind_wand,arb_los,alg_eins,hartz4,jug_hartz4,grundsich,alt_arm,,fruehtod,raucher_krebs,,,
04020207,Flatowallee,Charlottenburg-Wilmersdorf,CW2,Heerstraße,"1,4459",31,1,"7,4","4,40","4,91","2,39","2,52","1,80","0,26","0,65",,"0,053","0,022",,,
04020208,Kranzallee,Charlottenburg-Wilmersdorf,CW2,Heerstraße,"1,2576",50,1,"12,0","5,11","4,37","2,07","2,31","0,00","0,82","1,01",,"0,064","0,037",,,
04020209,Eichkamp,Charlottenburg-Wilmersdorf,CW2,Heerstraße,"1,6286",6,1,"1,4","18,24","2,18","1,36","0,82","0,00","0,05","0,00",,"0,030","0,023",,,
04020310,Park Ruhwald,Charlottenburg-Wilmersdorf,CW2,Westend,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
04020311,Reichsstraße,Charlottenburg-Wilmersdorf,CW2,Westend,"0,9800",82,2,"19,7","2,09","7,22","2,51","4,71","3,06","0,29","2,10",,"0,041","0,025",,,
04020312,Branitzer Platz,Charlottenburg-Wilmersdorf,CW2,Westend,"0,8305",99,2,"23,7","7,06","6,64","2,16","4,48","3,12","0,59","3,16",,"0,075","0,023",,,
04020313,Königin-Elisabeth-Straße,Charlottenburg-Wilmersdorf,CW2,Westend,"0,4971",138,3,"33,1","-2,58","9,96","2,76","7,20","3,39","0,51","2,20",,"0,071","0,023",,,
04020314,Messegelände,Charlottenburg-Wilmersdorf,CW2,Westend,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
04030415,Schloßgarten,Charlottenburg-Wilmersdorf,CW3,Schloß Charlottenburg,"-0,2946",267,5,"64,0","7,60","10,29","1,54","8,75","4,68","1,33","15,27",,"0,065","0,022",,,
04030416,Klausenerplatz,Charlottenburg-Wilmersdorf,CW3,Schloß Charlottenburg,"-1,0044",345,6,"82,7","-1,32","14,41","2,71","11,70","5,68","1,06","13,81",,"0,075","0,052",,,
04030417,Schloßstraße,Charlottenburg-Wilmersdorf,CW3,Schloß Charlottenburg,"0,0692",211,4,"50,6","-2,98","10,19","2,71","7,48","4,12","0,45","6,39",,"0,074","0,038",,,
04030518,Tegeler Weg,Charlottenburg-Wilmersdorf,CW3,Mierendorffplatz,"-0,6255",307,6,"73,6","-2,44","14,66","2,71","11,95","7,13","1,00","6,61",,"0,071","0,045",,,
04030519,Kaiserin-Augusta-Allee,Charlottenburg-Wilmersdorf,CW3,Mierendorffplatz,"-0,5981",302,6,"72,4","-2,86","15,02","2,94","12,08","5,65","0,72","6,46",,"0,063","0,038",,,
04030620,Alt-Lietzow,Charlottenburg-Wilmersdorf,CW3,Otto-Suhr-Allee,"-0,2733",261,5,"62,6","-5,34","12,96","2,46","10,50","6,29","0,61","6,62",,"0,074","0,034",,,
04030621,Spreestadt,Charlottenburg-Wilmersdorf,CW3,Otto-Suhr-Allee,"-1,0333",352,6,"84,4","-5,33","15,54","2,65","12,89","8,09","1,23","17,37",,"0,073","0,028",,,
04030622,Richard-Wagner-Straße,Charlottenburg-Wilmersdorf,CW3,Otto-Suhr-Allee,"-0,4548",284,5,"68,1","0,46","12,67","2,54","10,13","7,27","1,07","6,98",,"0,068","0,038",,,
04030623,Ernst-Reuter-Platz,Charlottenburg-Wilmersdorf,CW3,Otto-Suhr-Allee,"-0,1179",241,5,"57,8","1,91","12,17","1,87","10,29","5,82","0,48","9,54",,"0,061","0,031",,,
04030724,Lietzensee,Charlottenburg-Wilmersdorf,CW3,Neue Kantstraße,"0,4019",154,3,"36,9","-4,90","9,02","1,91","7,10","5,13","0,51","5,79",,"0,063","0,028",,,
04030725,Amtsgerichtsplatz,Charlottenburg-Wilmersdorf,CW3,Neue Kantstraße,"0,4349",147,3,"35,3","0,18","9,11","2,53","6,58","3,74","0,52","5,34",,"0,055","0,029",,,
04030726,Droysenstraße,Charlottenburg-Wilmersdorf,CW3,Neue Kantstraße,"0,3051",174,3,"41,7","-7,86","9,06","2,25","6,81","3,12","0,54","6,78",,"0,057","0,035",,,
04030827,Karl-August-Platz,Charlottenburg-Wilmersdorf,CW3,Kantstraße,"-0,1875",250,5,"60,0","-2,82","11,92","2,23","9,68","4,55","0,86","8,44",,"0,062","0,029",,,
04030828,Savignyplatz,Charlottenburg-Wilmersdorf,CW3,Kantstraße,"0,4705",141,3,"33,8","-5,66","8,52","1,93","6,58","3,76","0,66","6,23",,"0,069","0,034",,,
04030929,Hindemithplatz,Charlottenburg-Wilmersdorf,CW3,Kurfürstendamm,"0,2431",183,4,"43,9","-1,59","10,25","2,83","7,42","5,42","0,65","7,07",,"0,084","0,031",,,
